OID_,id,subward,ward,district,Building Diversity,Population Density,Microclimate,UNIQUE,Heat Stress,Connectivity,Integration,Built Density
161,247,Mtambani A,Jangwani,Ilala,1,0.438416306,0.220142744,246,0.494885326,0.672355798,0.75304348,0.64314785
162,248,Gerezani Mashariki,Gerezani,Ilala,0.698153942,0.503746813,0.012371134,247,0.540038424,0.639042195,1,0.773530006
163,249,Gerezani Magharibi,Gerezani,Ilala,0.715512041,0.376148018,0.297368611,248,0.381033192,0.573793593,0.975909186,0.678435202
164,250,Mtendeni,Kisutu,Ilala,0.462448326,0.251889932,0.164155432,249,0.654748823,0.673695359,0.839561896,0.865106387
165,251,Kisutu,Kisutu,Ilala,0.84157646,0.241879083,0.128310864,250,0.675804125,0.639768184,0.880407713,0.879125517
166,253,Kitumbini,Mchafukoge,Ilala,0.464764037,0.291919234,0.105947661,252,0.643659322,0.706882023,0.926715661,0.84849731
167,254,Kitonga,Upanga Mashariki,Ilala,0.387555513,0.147481259,0.44752361,253,0.778777098,0.356047383,0.781624811,0.681345249
168,256,Mchafukoge,Mchafukoge,Ilala,0.793777485,0.289438073,0.221366263,255,0.577529759,0.59282629,0.921072569,0.68559321
169,259,Kibasila,Upanga Mashariki,Ilala,0.416013007,0.257500493,0.374105764,258,0.69607155,0.522838692,0.891638941,0.704524198
170,260,Mfaume,Upanga Magharibi,Ilala,0.3146276,0.272144171,0.394766059,259,0.710530536,0.425268633,0.899326157,0.607914026
171,261,Fire,Upanga Magharibi,Ilala,0.240782986,0.378377609,0.410785091,260,0.631900847,0.561314694,0.850263872,0.645493992
172,262,Tindwa,Sandali,Temeke,0,0.655637332,0.261697066,261,0.116969162,0.41781084,0.427071631,0.225424232
173,263,Charambe,Upanga Magharibi,Ilala,0.476451487,0.229765796,0.962548242,262,0.688877946,0.349452654,0.739652885,0.533680624
174,264,Sea View,Kivukoni,Ilala,0.497843676,0.101599267,0.586030623,263,0.704437225,0.348005464,0.635538875,0.552384407
175,265,Kivukoni,Kivukoni,Ilala,0.74208057,0.092767116,0.308316151,264,0.692381151,0.472331781,0.824672778,0.752279196
176,266,Kiwalani,Kiwalani,Ilala,0.378251625,0.45715847,0.216682287,265,0.121023775,0.412473936,0.742013328,0.482289938
177,268,Yombo,Kiwalani,Ilala,0.224520568,0.58371273,0.217655161,267,0.177748709,0.403613467,0.580242943,0.413372843
178,269,Kigilagila,Kiwalani,Ilala,0.123325287,0.358460682,0.32850119,268,0.239243862,0.386189269,0.560053403,0.358743727
179,271,Migombani,Segerea,Ilala,0.311103744,0.107322827,0.641319588,270,0.424998989,0.457709394,0.301626445,0.422082417
180,272,Mpogo,Sandali,Temeke,0.223341401,0.657752117,0.332117367,271,0.127670215,0.202074918,0.177830805,0.57524042
181,273,Amani,Segerea,Ilala,0.22746745,0.381759402,0.555726747,272,0.141787239,0.383152176,0.43389079,0.436672408
182,281,Vijibweni,Vijibweni,Kigamboni,0.348502619,0.058638771,0.324848452,280,0.687301433,0.427151682,0.465340395,0.37857984
183,283,Kisiwani,Vijibweni,Kigamboni,0.385544955,0.058537293,0.492632638,282,0.687056852,0.369731095,0.31983135,0.390065691
184,300,Ferry,Kigamboni,Kigamboni,0.362253207,0.11093207,0.671757109,299,0.837039068,0.407772471,0.301151561,0.295892683
185,301,Tuamoyo,Kigamboni,Kigamboni,0.250169695,0.141963972,0.636875496,300,0.930089449,0.471962868,0.282640446,0.453362986
186,302,Kigamboni,Kigamboni,Kigamboni,0.224319684,0.159380481,0.541756983,301,0.913364161,0.490752298,0.307818101,0.463268093
187,303,Mkwajuni,Vijibweni,Kigamboni,0.401642762,0.022123005,0.730940477,302,0.687412746,0.512522531,0.346837033,0.138978509
188,304,Kibene,Vijibweni,Kigamboni,0.279103215,0.027538666,0.459284959,303,0.687412746,0.599577992,0.404559841,0.169465367
189,307,Uvumba,Kibada,Kigamboni,0.495180815,0,0.692857275,306,0.687412746,0.420614154,0.286191149,0.030404904
